weekday,hour,best_discrete,ks_discrete,p_discrete,params_discrete,best_continuous,ks_continuous,p_continuous,params_continuous
0,0,nbinom,0.12568968187553708,0.0032618429428068105,"{'n': 18.636142621932134, 'p': 0.6477373132802127}",gamma,0.03586052013929675,0.951015054474048,"{'a': 9.268190787926482, 'loc': -1.8487105400080126, 'scale': 1.2912675930386621}"
0,1,nbinom,0.1265413272631397,0.003087662669590423,"{'n': 44.05596023652414, 'p': 0.8594274218321779}",gamma,0.03375800644017146,0.9714594523891514,"{'a': 17.136590042415897, 'loc': -4.933015579106241, 'scale': 0.7085518718593113}"
0,2,poisson,0.12617546379116934,0.0035273491123997943,{'mu': 5.438775510204081},gamma,0.044101598316223845,0.8239703205617638,"{'a': 6.0731089454543365, 'loc': -1.2272935979849768, 'scale': 1.102124915061574}"
0,3,poisson,0.18725385428988728,1.6055810521414539e-06,{'mu': 4.365482233502538},weibull_min,0.029708158071071578,0.9930232399613083,"{'c': 2.130811583603685, 'loc': 0.1875365152205163, 'scale': 4.67894541763291}"
0,4,nbinom,0.1777663184880054,8.863333874635709e-06,"{'n': 36.95271210013911, 'p': 0.9158375278005385}",weibull_min,0.05606562686998906,0.5628627512501292,"{'c': 1.4093724193898503, 'loc': 0.4681241707817446, 'scale': 3.162787275039707}"
0,5,poisson,0.25262389787290507,1.0055139470015009e-10,{'mu': 3.1263736263736264},gamma,0.024860424604239872,0.9997478838786115,"{'a': 2.9988776608214107, 'loc': 0.20637646686552802, 'scale': 0.9881469968515559}"
0,6,poisson,0.19485359247013295,6.788746605244169e-07,{'mu': 3.5958549222797926},weibull_min,0.058430855661332104,0.5065075080982548,"{'c': 1.5718791034759816, 'loc': 0.39862881514892085, 'scale': 3.547563618576892}"
0,7,poisson,0.18455687149509686,1.9547572671814137e-06,{'mu': 5.065},gamma,0.041476864667572166,0.867140236527798,"{'a': 10.397935654052418, 'loc': -2.5462608843103878, 'scale': 0.732573639934737}"
0,8,nbinom,0.16013901395906582,6.007472041341221e-05,"{'n': 74.4932432432432, 'p': 0.8764607679465776}",norm,0.04961076883119503,0.6895204984603207,"{'loc': 10.489214856730205, 'scale': 3.467730967808269}"
0,9,nbinom,0.11033356169097985,0.014152587227438099,"{'n': 43.678470176400175, 'p': 0.704793035666303}",norm,0.04116516014766744,0.8728752012032478,"{'loc': 18.30825424135653, 'scale': 5.127721697322447}"
0,10,nbinom,0.10797849581376978,0.018260999344894214,"{'n': 73.64851971994302, 'p': 0.764982458803197}",gamma,0.04392705638295036,0.8230431005502405,"{'a': 22684.463234595, 'loc': -800.7854230368946, 'scale': 0.036298362934786096}"
0,11,nbinom,0.10662120506078493,0.020995017900271157,"{'n': 55.483233688588484, 'p': 0.7028976553087639}",weibull_min,0.04600698717872134,0.7808587147582445,"{'c': 5.5225068163559925, 'loc': -4.669141424360081, 'scale': 30.41080403918987}"
